mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E,turnon
offline,2048,1,1.2,edf+bf,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,149620.0,148126.222233,151113.777767,72550966.963532,71992659.816656,73109274.110407,748.1
offline,2048,1,1.2,edf+bf,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,184180.0,181274.935867,187085.064133,48180038.388909,47811146.25833,48548930.519488,920.9
offline,2048,1,1.2,edf+spt,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,181400.0,179661.593066,183138.406934,72582746.963532,72024409.797381,73141084.129682,907.0
offline,2048,1,1.2,edf+spt,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,221860.0,219668.030154,224051.969846,48217718.388909,47848242.910501,48587193.867317,1109.3
offline,2048,1,1.2,edf+wf,0,1.0,72401346.963532,71843456.622063,72959237.305001,0.0,0.0,0.0,150540.0,148632.938018,152447.061982,72551886.963532,71993354.482598,73110419.444466,752.7
offline,2048,1,1.2,edf+wf,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,185120.0,182546.032493,187693.967507,48180978.388909,47811904.648259,48550052.129559,925.6
offline,2048,1,1.2,lpt+ff,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,247080.0,244071.14641,250088.85359,72648426.963532,72090841.72375,73206012.203314,1235.4
offline,2048,1,1.2,lpt+ff,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,306740.0,303772.370421,309707.629579,48302598.388909,47933607.130643,48671589.647174,1533.7
offline,2048,1,1.4,edf+bf,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,173960.0,170831.740664,177088.259336,84989141.830932,84491424.731282,85486858.930581,869.8
offline,2048,1,1.4,edf+bf,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,216000.0,212771.184627,219228.815373,56531627.111963,56212280.563978,56850973.659947,1080.0
offline,2048,1,1.4,edf+spt,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,212720.0,209979.611265,215460.388735,85027901.830932,84530372.814977,85525430.846887,1063.6
offline,2048,1,1.4,edf+spt,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,260940.0,257550.188326,264329.811674,56576567.111963,56257768.661409,56895365.562516,1304.7
offline,2048,1,1.4,edf+wf,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,174740.0,171980.457352,177499.542648,84989921.830932,84492741.545217,85487102.116647,873.7
offline,2048,1,1.4,edf+wf,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,216900.0,213698.666667,220101.333333,56532527.111963,56213070.624484,56851983.599442,1084.5
offline,2048,1,1.4,lpt+ff,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,289960.0,286395.026336,293524.973664,85105141.830932,84608103.07152,85602180.590344,1449.8
offline,2048,1,1.4,lpt+ff,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,359020.0,355741.620465,362298.379535,56674647.111963,56355836.548753,56993457.675173,1795.1
offline,2048,1,1.6,edf+bf,0,1.0,96978108.496336,96491692.556379,97464524.436293,0.0,0.0,0.0,198160.0,195275.372409,201044.627591,97176268.496336,96689791.833091,97662745.159581,990.8
offline,2048,1,1.6,edf+bf,1,1.0,64407673.850722,64061648.201751,64753699.499694,0.0,0.0,0.0,247240.0,243852.833675,250627.166325,64654913.850722,64310765.22834,64999062.473105,1236.2
offline,2048,1,1.6,edf+spt,0,1.0,96978108.496336,96491692.556379,97464524.436292,0.0,0.0,0.0,243700.0,241778.48902,245621.51098,97221808.496336,96736046.199194,97707570.793477,1218.5
