mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,2,0.2,lpt+ff,1,1.0,8048589.204465,7949403.085323,8147775.323608,208981.55,198797.517281,219165.582719,25990.0,25531.021555,26448.978445,8283560.754465,8180524.498918,8386597.010012
offline,2048,4,0.2,edf+bf,0,1.0,12131685.495496,11972684.524093,12290686.466898,889043.4,843939.557732,934147.242268,6520.0,6401.372906,6638.627094,13027248.895496,12867147.058263,13187350.732728
offline,2048,4,0.2,edf+bf,1,1.0,8048589.204465,7949403.085323,8147775.323608,1214933.85,1147998.424386,1281869.275614,8010.0,7855.603954,8164.396046,9271533.054465,9157332.903268,9385733.205662
offline,2048,4,0.2,edf+spt,0,1.0,12131685.495496,11972684.524093,12290686.466898,686024.4,658278.042394,713770.757606,8640.0,8487.912934,8792.087066,12826349.895496,12667210.807285,12985488.983706
offline,2048,4,0.2,edf+spt,1,1.0,8048589.204465,7949403.085323,8147775.323608,1022008.45,977726.90323,1066289.99677,11310.0,11120.343713,11499.656287,9081907.654465,8963580.056025,9200235.252906
offline,2048,4,0.2,edf+wf,0,1.0,12131685.495496,11972684.524093,12290686.466898,1133850.2,1087234.024011,1180466.375989,6830.0,6591.59811,7068.40189,13272365.695496,13113632.020752,13431099.37024
offline,2048,4,0.2,edf+wf,1,1.0,8048589.204465,7949403.085323,8147775.323608,1434713.85,1359687.775237,1509739.924763,9420.0,9198.069029,9641.930971,9492723.054465,9395283.268163,9590162.840768
offline,2048,4,0.2,lpt+ff,0,1.0,12131685.495496,11972684.524093,12290686.466898,348510.4,328280.889131,368739.910869,10570.0,10342.002382,10797.997618,12490765.895496,12325125.923188,12656405.867803
offline,2048,4,0.2,lpt+ff,1,1.0,8048589.204465,7949403.085323,8147775.323608,485730.45,458234.349051,513226.550949,13050.0,12817.436709,13282.563291,8547369.654465,8437130.869475,8657608.439456
offline,2048,8,0.2,edf+bf,0,1.0,12131685.495496,11972684.524093,12290686.466898,1343507.0,1272352.901532,1414661.098468,3330.0,3271.2,3388.8,13478522.495496,13319752.929657,13637292.061334
offline,2048,8,0.2,edf+bf,1,1.0,8048589.204465,7949403.085323,8147775.323608,2024316.25,1892522.228614,2156110.271386,4120.0,4042.638456,4197.361544,10077025.454465,9926382.97743,10227667.931501
offline,2048,8,0.2,edf+spt,0,1.0,12131685.495496,11972684.524093,12290686.466898,989698.2,957602.837114,1021793.562886,4510.0,4422.461545,4597.538455,13125893.695496,12968202.672055,13283584.718936
offline,2048,8,0.2,edf+spt,1,1.0,8048589.204465,7949403.085323,8147775.323608,1683768.25,1620565.770059,1746970.729941,6330.0,6230.363144,6429.636856,9738687.454465,9607253.612346,9870121.296585
offline,2048,8,0.2,edf+wf,0,1.0,12131685.495496,11972684.524093,12290686.466898,1771404.6,1671172.229652,1871636.970348,3580.0,3453.136758,3706.863242,13906670.095496,13725079.885845,14088260.305146
offline,2048,8,0.2,edf+wf,1,1.0,8048589.204465,7949403.085323,8147775.323608,2423117.05,2319663.809511,2526570.290489,5250.0,5094.559844,5405.440156,10476956.254465,10340938.728705,10612973.780225
offline,2048,8,0.2,lpt+ff,0,1.0,12131685.495496,11972684.524093,12290686.466898,556265.4,529796.254309,582734.545691,5300.0,5188.036848,5411.963152,12693250.895496,12527101.065566,12859400.725425
offline,2048,8,0.2,lpt+ff,1,1.0,8048589.204465,7949403.085323,8147775.323608,781752.65,740482.606671,823022.693329,6590.0,6474.569128,6705.430872,8836931.854465,8724662.549364,8949201.159567
offline,2048,16,0.4,edf+bf,0,1.0,24252145.372005,24094406.291893,24409884.452117,3191457.2,3075056.799805,3307857.600195,3250.0,3187.209119,3312.790881,27446852.572005,27262836.189909,27630868.9541
offline,2048,16,0.4,edf+bf,1,1.0,16097092.541446,15987865.213897,16206319.868994,6241592.9,5761313.431943,6721872.368057,4300.0,4159.23577,4440.76423,22342985.441446,21862680.885892,22823289.996999
offline,2048,16,0.4,edf+spt,0,1.0,24252145.372005,24094406.291893,24409884.452117,2462438.8,2392265.633747,2532611.966253,4640.0,4572.701826,4707.298174,26719224.172005,26557904.338602,26880544.005407
offline,2048,16,0.4,edf+spt,1,1.0,16097092.541446,15987865.213897,16206319.868994,4799599.3,4664560.051306,4934638.548694,7060.0,6920.389595,7199.610405,20903751.841446,20728327.196407,21079176.486484
offline,2048,16,0.4,edf+wf,0,1.0,24252145.372005,24094406.291893,24409884.452117,4383686.0,3992149.375621,4775222.624379,3610.0,3460.934165,3759.065835,28639441.372005,28234269.069606,29044613.674404
offline,2048,16,0.4,edf+wf,1,1.0,16097092.541446,15987865.213897,16206319.868994,7237573.7,6974637.957749,7500509.442251,5900.0,5686.23653,6113.76347,23340566.241446,23061904.20974,23619228.273151
offline,2048,16,0.4,lpt+ff,0,1.0,24252145.372005,24094406.291893,24409884.452117,1328966.0,1294428.790342,1363503.209658,5300.0,5217.087745,5382.912255,25586411.372005,25427980.086693,25744842.657317
offline,2048,16,0.4,lpt+ff,1,1.0,16097092.541446,15987865.213897,16206319.868994,1924344.1,1881627.578847,1967060.621153,6480.0,6397.576907,6562.423093,18027916.641446,17899466.006412,18156367.276479
