,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,power/W
180,matrixMulG,1880,5800,input00,matrixMulCUDA,19.827679,,,194.0748600000001
181,matrixMulG,1880,6300,input00,matrixMulCUDA,19.727582,,,197.16652
182,matrixMulG,1880,6800,input00,matrixMulCUDA,19.674083,,,191.27452
183,matrixMulG,1880,7300,input00,matrixMulCUDA,19.368195,,,193.3567
192,matrixMulG,1980,5800,input00,matrixMulCUDA,18.903865,,,201.5651000000001
193,matrixMulG,1980,6300,input00,matrixMulCUDA,18.862958,,,197.89017
194,matrixMulG,1980,6800,input00,matrixMulCUDA,18.74279,,,202.89358
195,matrixMulG,1980,7300,input00,matrixMulCUDA,18.562847,,,205.82465
196,matrixMulG,2080,5800,input00,matrixMulCUDA,18.181977,,,205.51709
197,matrixMulG,2080,6300,input00,matrixMulCUDA,18.027679,,,208.70799
198,matrixMulG,2080,6800,input00,matrixMulCUDA,17.955926,,,211.18221
199,matrixMulG,2080,7300,input00,matrixMulCUDA,17.875345,,,213.63104
208,matrixMulS,1680,5800,input00,matrixMulCUDA,15.400333,,,129.31054999999998
209,matrixMulS,1680,6300,input00,matrixMulCUDA,15.357127,,,130.42076
210,matrixMulS,1680,6800,input00,matrixMulCUDA,15.323165,,,131.20687
211,matrixMulS,1680,7300,input00,matrixMulCUDA,15.213313,,,131.71324999999996
204,matrixMulS,1780,5800,input00,matrixMulCUDA,14.658166,,,133.82211999999998
205,matrixMulS,1780,6300,input00,matrixMulCUDA,14.611273,,,134.73184
206,matrixMulS,1780,6800,input00,matrixMulCUDA,14.563686,,,136.13856000000004
207,matrixMulS,1780,7300,input00,matrixMulCUDA,14.514464,,,138.01868000000002
200,matrixMulS,1880,5800,input00,matrixMulCUDA,13.847913,,,138.92691000000002
201,matrixMulS,1880,6300,input00,matrixMulCUDA,13.844612,,,140.03632
202,matrixMulS,1880,6800,input00,matrixMulCUDA,13.806308,,,141.65645
203,matrixMulS,1880,7300,input00,matrixMulCUDA,13.755185,,,142.67464000000004
212,matrixMulS,1980,5800,input00,matrixMulCUDA,13.170497,,,144.53514
213,matrixMulS,1980,6300,input00,matrixMulCUDA,13.148716,,,147.58966
214,matrixMulS,1980,6800,input00,matrixMulCUDA,13.112185,,,149.24368999999996
215,matrixMulS,1980,7300,input00,matrixMulCUDA,13.058349,,,150.33213
216,matrixMulS,2080,5800,input00,matrixMulCUDA,12.677766,,,152.68482000000003
217,matrixMulS,2080,6300,input00,matrixMulCUDA,12.557208,,,155.40742000000003
218,matrixMulS,2080,6800,input00,matrixMulCUDA,12.55047,,,157.55364999999998
219,matrixMulS,2080,7300,input00,matrixMulCUDA,12.524764,,,158.03509000000005
228,mergeSort,1680,5800,input00,mergeSortSharedKernel,4.725222,,,151.68507000000002
229,mergeSort,1680,6300,input00,mergeSortSharedKernel,4.650681,,,153.89059
230,mergeSort,1680,6800,input00,mergeSortSharedKernel,4.584978,,,156.81590999999997
231,mergeSort,1680,7300,input00,mergeSortSharedKernel,4.471463,,,162.73993999999996
224,mergeSort,1780,5800,input00,mergeSortSharedKernel,4.551412,,,156.22886999999997
225,mergeSort,1780,6300,input00,mergeSortSharedKernel,4.482789,,,159.90917
226,mergeSort,1780,6800,input00,mergeSortSharedKernel,4.415532,,,163.1353
227,mergeSort,1780,7300,input00,mergeSortSharedKernel,4.322229,,,171.65246
220,mergeSort,1880,5800,input00,mergeSortSharedKernel,4.390249,,,166.67260000000002
221,mergeSort,1880,6300,input00,mergeSortSharedKernel,4.311971,,,165.11312999999998
222,mergeSort,1880,6800,input00,mergeSortSharedKernel,4.197395,,,169.33391000000003
223,mergeSort,1880,7300,input00,mergeSortSharedKernel,4.156493,,,173.31677999999994
232,mergeSort,1980,5800,input00,mergeSortSharedKernel,4.251054,,,168.69291000000004
233,mergeSort,1980,6300,input00,mergeSortSharedKernel,4.165687,,,171.03137000000004
234,mergeSort,1980,6800,input00,mergeSortSharedKernel,4.111331,,,174.46654000000007
235,mergeSort,1980,7300,input00,mergeSortSharedKernel,4.005029,,,178.73393000000004
236,mergeSort,2080,5800,input00,mergeSortSharedKernel,4.145316,,,173.39594999999997
237,mergeSort,2080,6300,input00,mergeSortSharedKernel,4.027367,,,178.09158000000008
238,mergeSort,2080,6800,input00,mergeSortSharedKernel,3.941259,,,182.62073
239,mergeSort,2080,7300,input00,mergeSortSharedKernel,3.887128,,,184.82353
248,nn,1680,5800,input00,euclid,0.200231,,,106.32287000000004
249,nn,1680,6300,input00,euclid,0.186718,,,110.29068000000002
250,nn,1680,6800,input00,euclid,0.175368,,,113.36226
251,nn,1680,7300,input00,euclid,0.165229,,,117.23026
244,nn,1780,5800,input00,euclid,0.200572,,,107.54645999999998
245,nn,1780,6300,input00,euclid,0.186705,,,110.56471
246,nn,1780,6800,input00,euclid,0.175446,,,114.90954000000002
247,nn,1780,7300,input00,euclid,0.164604,,,118.44075000000002
240,nn,1880,5800,input00,euclid,0.200871,,,107.66909
241,nn,1880,6300,input00,euclid,0.187502,,,111.96899999999998
242,nn,1880,6800,input00,euclid,0.176321,,,115.43108000000002
243,nn,1880,7300,input00,euclid,0.164704,,,121.63548000000004
252,nn,1980,5800,input00,euclid,0.200409,,,109.6778
253,nn,1980,6300,input00,euclid,0.188124,,,113.76520999999995
254,nn,1980,6800,input00,euclid,0.176534,,,119.56807
255,nn,1980,7300,input00,euclid,0.165347,,,122.88589
256,nn,2080,5800,input00,euclid,0.200901,,,113.77882000000004
257,nn,2080,6300,input00,euclid,0.188216,,,116.88738
258,nn,2080,6800,input00,euclid,0.176648,,,122.57214
259,nn,2080,7300,input00,euclid,0.165463,,,126.11146999999995
268,quasirandomGenerator,1680,5800,input00,quasirandomGeneratorKernel,3.03576,,,145.54594999999998
269,quasirandomGenerator,1680,6300,input00,quasirandomGeneratorKernel,3.06547,,,146.19619999999998
270,quasirandomGenerator,1680,6800,input00,quasirandomGeneratorKernel,3.066844,,,148.06505
271,quasirandomGenerator,1680,7300,input00,quasirandomGeneratorKernel,3.015137,,,150.00134999999997
264,quasirandomGenerator,1780,5800,input00,quasirandomGeneratorKernel,2.868668,,,150.10384
265,quasirandomGenerator,1780,6300,input00,quasirandomGeneratorKernel,2.917,,,151.42158
266,quasirandomGenerator,1780,6800,input00,quasirandomGeneratorKernel,2.902176,,,153.31453000000005
267,quasirandomGenerator,1780,7300,input00,quasirandomGeneratorKernel,2.886073,,,160.34457000000003
260,quasirandomGenerator,1880,5800,input00,quasirandomGeneratorKernel,2.76118,,,160.93799
261,quasirandomGenerator,1880,6300,input00,quasirandomGeneratorKernel,2.758753,,,156.79209
262,quasirandomGenerator,1880,6800,input00,quasirandomGeneratorKernel,2.760122,,,158.66477000000003
263,quasirandomGenerator,1880,7300,input00,quasirandomGeneratorKernel,2.761965,,,162.40049000000002
272,quasirandomGenerator,1980,5800,input00,quasirandomGeneratorKernel,2.620069,,,167.00603000000004
273,quasirandomGenerator,1980,6300,input00,quasirandomGeneratorKernel,2.61992,,,164.50996000000004
274,quasirandomGenerator,1980,6800,input00,quasirandomGeneratorKernel,2.620086,,,166.82425999999998
275,quasirandomGenerator,1980,7300,input00,quasirandomGeneratorKernel,2.618384,,,168.46446
276,quasirandomGenerator,2080,5800,input00,quasirandomGeneratorKernel,2.477427,,,172.25653999999997
277,quasirandomGenerator,2080,6300,input00,quasirandomGeneratorKernel,2.504275,,,172.45831
278,quasirandomGenerator,2080,6800,input00,quasirandomGeneratorKernel,2.462456,,,175.23788000000002
279,quasirandomGenerator,2080,7300,input00,quasirandomGeneratorKernel,2.508959,,,176.44827000000004
288,reduction,1680,5800,input00,reduce2,2.467821,,,124.97568
289,reduction,1680,6300,input00,reduce2,2.456396,,,127.44909000000004
290,reduction,1680,6800,input00,reduce2,2.424151,,,131.10958
291,reduction,1680,7300,input00,reduce2,2.402793,,,132.24665000000002
284,reduction,1780,5800,input00,reduce2,2.30932,,,130.29782
285,reduction,1780,6300,input00,reduce2,2.346801,,,131.54878
286,reduction,1780,6800,input00,reduce2,2.325632,,,133.25895000000003
287,reduction,1780,7300,input00,reduce2,2.322486,,,134.21545999999998
280,reduction,1880,5800,input00,reduce2,2.236441,,,133.20772999999997
281,reduction,1880,6300,input00,reduce2,2.227155,,,134.23647
282,reduction,1880,6800,input00,reduce2,2.126475,,,137.5064
283,reduction,1880,7300,input00,reduce2,2.216822,,,140.49879999999996
292,reduction,1980,5800,input00,reduce2,2.105215,,,138.68460999999996
293,reduction,1980,6300,input00,reduce2,2.127425,,,138.86686
294,reduction,1980,6800,input00,reduce2,2.110319,,,143.29601
295,reduction,1980,7300,input00,reduce2,2.109643,,,144.83921
296,reduction,2080,5800,input00,reduce2,2.051626,,,146.06292000000002
297,reduction,2080,6300,input00,reduce2,2.036436,,,148.19585
298,reduction,2080,6800,input00,reduce2,1.975451,,,150.65104999999997
299,reduction,2080,7300,input00,reduce2,1.966392,,,151.97766
308,scalarProd,1680,5800,input00,scalarProdGPU,6.069055,,,145.61692000000002
309,scalarProd,1680,6300,input00,scalarProdGPU,5.603913,,,153.39554
310,scalarProd,1680,6800,input00,scalarProdGPU,5.237703,,,161.65363000000002
311,scalarProd,1680,7300,input00,scalarProdGPU,4.842521,,,169.26877999999994
304,scalarProd,1780,5800,input00,scalarProdGPU,6.045419,,,147.69853999999998
305,scalarProd,1780,6300,input00,scalarProdGPU,5.632505,,,153.32298
306,scalarProd,1780,6800,input00,scalarProdGPU,5.205422,,,163.75483
307,scalarProd,1780,7300,input00,scalarProdGPU,4.870379,,,172.68271999999996
300,scalarProd,1880,5800,input00,scalarProdGPU,6.091809,,,149.53938
301,scalarProd,1880,6300,input00,scalarProdGPU,5.627067,,,154.10115
302,scalarProd,1880,6800,input00,scalarProdGPU,5.23139,,,164.53324999999998
303,scalarProd,1880,7300,input00,scalarProdGPU,4.784468,,,172.82366
312,scalarProd,1980,5800,input00,scalarProdGPU,6.094498,,,150.75567999999996
313,scalarProd,1980,6300,input00,scalarProdGPU,5.626472,,,156.55404
314,scalarProd,1980,6800,input00,scalarProdGPU,5.224338,,,167.2895499999999
315,scalarProd,1980,7300,input00,scalarProdGPU,4.875209,,,176.95177999999996
316,scalarProd,2080,5800,input00,scalarProdGPU,6.092441,,,154.57647
317,scalarProd,2080,6300,input00,scalarProdGPU,5.625597,,,162.62662999999998
318,scalarProd,2080,6800,input00,scalarProdGPU,5.131287,,,172.65886999999998
319,scalarProd,2080,7300,input00,scalarProdGPU,4.778957,,,179.97053
328,scanScanExclusiveShared,1680,5800,input00,scanExclusiveShared,1.712804,,,140.55768999999998
329,scanScanExclusiveShared,1680,6300,input00,scanExclusiveShared,1.612378,,,145.10316999999998
330,scanScanExclusiveShared,1680,6800,input00,scanExclusiveShared,1.503287,,,153.38287
331,scanScanExclusiveShared,1680,7300,input00,scanExclusiveShared,1.303731,,,162.31350000000003
324,scanScanExclusiveShared,1780,5800,input00,scanExclusiveShared,1.703111,,,142.21487999999997
325,scanScanExclusiveShared,1780,6300,input00,scanExclusiveShared,1.616869,,,146.47467999999998
326,scanScanExclusiveShared,1780,6800,input00,scanExclusiveShared,1.478954,,,155.42047999999997
327,scanScanExclusiveShared,1780,7300,input00,scanExclusiveShared,1.38885,,,166.88164
320,scanScanExclusiveShared,1880,5800,input00,scanExclusiveShared,1.758159,,,140.30527000000004
321,scanScanExclusiveShared,1880,6300,input00,scanExclusiveShared,1.625706,,,147.34591999999998
322,scanScanExclusiveShared,1880,6800,input00,scanExclusiveShared,1.419531,,,162.84552000000002
323,scanScanExclusiveShared,1880,7300,input00,scanExclusiveShared,1.40703,,,162.2378
332,scanScanExclusiveShared,1980,5800,input00,scanExclusiveShared,1.734743,,,143.37228999999996
