mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,2,0.4,edf+spt,1,0.5,16234789.661136,16031811.310105,16437768.012166,724774.5,700389.373371,749159.626629,13743.0,13486.629303,13999.370697,16973307.161136,16756968.281041,17189646.04123
offline,2048,2,0.4,edf+spt,1,0.7,16201025.885315,16001575.46612,16400476.304511,751928.8,723715.893162,780141.706838,14058.0,13765.414603,14350.585397,16967012.685315,16752840.547644,17181184.822986
offline,2048,2,0.4,edf+spt,1,1.0,15835757.442813,15640381.141923,16031133.743703,907635.9,870658.633733,944613.166267,17991.0,17698.828486,18283.171514,16761384.342813,16540263.622607,16982505.063019
offline,2048,4,0.4,edf+spt,1,0.1,16221504.132685,16005549.258023,16437459.007347,1523778.4,1476108.518265,1571448.281735,7146.0,7011.400648,7280.599352,17752428.532685,17526314.136206,17978542.929163
offline,2048,4,0.4,edf+spt,1,0.3,16221504.132685,16005549.258023,16437459.007347,1523778.4,1476108.518265,1571448.281735,7146.0,7011.400648,7280.599352,17752428.532685,17526314.136206,17978542.929163
offline,2048,4,0.4,edf+spt,1,0.5,16221504.132685,16005549.258023,16437459.007347,1523778.4,1476108.518265,1571448.281735,7146.0,7011.400648,7280.599352,17752428.532685,17526314.136206,17978542.929163
offline,2048,4,0.4,edf+spt,1,0.7,16187861.536572,15973553.518585,16402169.554559,1571397.4,1535228.021747,1607566.778253,7398.0,7249.712042,7546.287958,17766656.936572,17542784.250534,17990529.622609
offline,2048,4,0.4,edf+spt,1,1.0,15835757.442813,15640381.141923,16031133.743703,1996479.3,1909097.519787,2083861.080213,9927.0,9756.48,10097.52,17842163.742813,17598314.183238,18086013.302388
offline,2048,8,0.4,edf+spt,1,0.1,16194839.830183,15977905.844765,16411773.8156,2207856.6,2128284.489353,2287428.710647,3672.0,3603.428006,3740.571994,18406368.430183,18189106.106447,18623630.753918
offline,2048,8,0.4,edf+spt,1,0.3,16194839.830183,15977905.844765,16411773.8156,2207856.6,2128284.489353,2287428.710647,3672.0,3603.428006,3740.571994,18406368.430183,18189106.106447,18623630.753918
offline,2048,8,0.4,edf+spt,1,0.5,16194839.830183,15977905.844765,16411773.8156,2207856.6,2128284.489353,2287428.710647,3672.0,3603.428006,3740.571994,18406368.430183,18189106.106447,18623630.753918
offline,2048,8,0.4,edf+spt,1,0.7,16160038.973755,15951511.318129,16368566.62938,2325827.4,2262477.70003,2389177.09997,3843.0,3737.65114,3948.34886,18489709.373755,18294515.235866,18684903.511644
offline,2048,8,0.4,edf+spt,1,1.0,15835757.442813,15640381.141923,16031133.743703,3333082.1,3239668.236873,3426495.963127,5553.0,5441.28,5664.72,19174392.542813,18939823.853623,19408961.232003
offline,2048,16,0.6,edf+spt,1,0.1,24722618.275122,24560306.855783,24884929.694461,4131568.0,3925521.905133,4337614.094867,2817.0,2779.349629,2854.650371,28857003.275122,28591848.685064,29122157.865181
offline,2048,16,0.6,edf+spt,1,0.3,24722618.275122,24560306.855783,24884929.694461,4131568.0,3925521.905133,4337614.094867,2817.0,2779.349629,2854.650371,28857003.275122,28591848.685064,29122157.865181
offline,2048,16,0.6,edf+spt,1,0.5,24722618.275122,24560306.855783,24884929.694461,4131568.0,3925521.905133,4337614.094867,2817.0,2779.349629,2854.650371,28857003.275122,28591848.685064,29122157.865181
offline,2048,16,0.6,edf+spt,1,0.7,24625447.845717,24477288.24614,24773607.445294,4326269.4,4151669.532253,4500869.267747,2997.0,2959.349629,3034.650371,28954714.245717,28688333.262666,29221095.228768
offline,2048,16,0.6,edf+spt,1,1.0,24171533.714692,24048815.493259,24294251.936124,6765006.0,6543603.6876,6986408.3124,4581.0,4495.993826,4666.006174,30941120.714692,30665840.127145,31216401.302238
offline,2048,2,0.6,edf+spt,1,0.1,24788885.662487,24631542.358731,24946228.966243,1094182.5,1053468.716996,1134896.283004,20772.0,20518.681847,21025.318153,25903840.162487,25720938.75575,26086741.569224
offline,2048,2,0.6,edf+spt,1,0.3,24788885.662487,24631542.358731,24946228.966243,1094182.5,1053468.716996,1134896.283004,20772.0,20518.681847,21025.318153,25903840.162487,25720938.75575,26086741.569224
offline,2048,2,0.6,edf+spt,1,0.5,24788885.662487,24631542.358731,24946228.966243,1094182.5,1053468.716996,1134896.283004,20772.0,20518.681847,21025.318153,25903840.162487,25720938.75575,26086741.569224
offline,2048,2,0.6,edf+spt,1,0.7,24746931.353048,24601965.622163,24891897.083933,1134549.5,1080626.056387,1188472.943613,21321.0,21073.690248,21568.309752,25902801.853048,25728473.688991,26077130.017106
offline,2048,2,0.6,edf+spt,1,1.0,24171533.714692,24048815.493259,24294251.936124,1363968.0,1321057.570172,1406878.429828,27270.0,26930.178729,27609.821271,25562771.714692,25412031.594716,25713511.834667
offline,2048,4,0.6,edf+spt,1,0.1,24739585.82833,24582186.195564,24896985.461095,2241386.0,2181417.966122,2301354.033878,10863.0,10771.717853,10954.282147,26991834.82833,26812907.142133,27170762.514527
offline,2048,4,0.6,edf+spt,1,0.3,24739585.82833,24582186.195564,24896985.461095,2241386.0,2181417.966122,2301354.033878,10863.0,10771.717853,10954.282147,26991834.82833,26812907.142133,27170762.514527
offline,2048,4,0.6,edf+spt,1,0.5,24739585.82833,24582186.195564,24896985.461095,2241386.0,2181417.966122,2301354.033878,10863.0,10771.717853,10954.282147,26991834.82833,26812907.142133,27170762.514527
