mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,16,0.6,edf+spt,0,1.0,50507826.45,47971953.0,52536831.0,5489249.85,4472615.0,6197350.0,6192.0,5800.0,6600.0,56003268.3,53354858.0,57798610.0
offline,2048,16,0.6,edf+wf,0,1.0,50507826.45,47971953.0,52536831.0,9677927.45,5929430.0,12792500.0,5708.0,4600.0,6600.0,60191461.9,56177413.0,63892573.0
offline,2048,16,0.6,lpt+ff,0,1.0,50507826.45,47971953.0,52536831.0,4243394.65,3105305.0,5138845.0,7832.0,7400.0,8400.0,54759053.1,51987668.0,57451736.0
offline,2048,1,0.6,edf+bf,0,1.0,50507826.45,47971953.0,52536831.0,0.0,0.0,0.0,74038.0,68600.0,80200.0,50581864.45,48049353.0,52610831.0
offline,2048,1,0.6,edf+spt,0,1.0,50507826.45,47971953.0,52536831.0,0.0,0.0,0.0,85356.0,80200.0,90800.0,50593182.45,48060153.0,52621431.0
offline,2048,1,0.6,edf+wf,0,1.0,50507826.45,47971953.0,52536831.0,0.0,0.0,0.0,74154.0,68000.0,80000.0,50581980.45,48048953.0,52610831.0
offline,2048,1,0.6,lpt+ff,0,1.0,50507826.45,47971953.0,52536831.0,0.0,0.0,0.0,123624.0,116000.0,132800.0,50631450.45,48094953.0,52656831.0
offline,2048,2,0.6,edf+bf,0,1.0,50507826.45,47971953.0,52536831.0,2068817.55,1628770.0,2480895.0,37072.0,34400.0,40200.0,52613716.0,49941528.0,54645366.0
offline,2048,2,0.6,edf+spt,0,1.0,50507826.45,47971953.0,52536831.0,1661427.85,1421625.0,1897285.0,44486.0,41600.0,47400.0,52213740.3,49768078.0,54187076.0
offline,2048,2,0.6,edf+wf,0,1.0,50507826.45,47971953.0,52536831.0,2333223.65,1692435.0,3036625.0,36942.0,34000.0,41200.0,52877992.1,49996018.0,54663976.0
offline,2048,2,0.6,lpt+ff,0,1.0,50507826.45,47971953.0,52536831.0,572633.95,348585.0,784210.0,61864.0,58000.0,66400.0,51142324.4,48536838.0,53176956.0
offline,2048,4,0.6,edf+bf,0,1.0,50507826.45,47971953.0,52536831.0,4130555.45,3274285.0,4869905.0,18588.0,17200.0,20200.0,54656969.9,51568238.0,56601516.0
offline,2048,4,0.6,edf+spt,0,1.0,50507826.45,47971953.0,52536831.0,3191380.25,2707335.0,3593035.0,23212.0,21600.0,25400.0,53722418.7,51273298.0,55644536.0
