mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
online,2048,8,1.6,edf+spt,1,1.0,67858242.332403,67322391.205522,68394093.459284,81845140.0,79719178.441642,83971101.558358,53380.0,51983.088384,54776.911616,149756762.332403,147459194.596991,152054330.067815
online,2048,16,1.6,edf+bin,0,1.0,112204857.2,111366204.594133,113043509.805867,5878056.0,5514509.367879,6241602.632121,5340.0,5174.202587,5505.797413,118088253.2,116989613.506762,119186892.893238
online,2048,16,1.6,edf+bin,1,1.0,67858242.332403,67322391.205522,68394093.459284,52570859.5,50808296.821629,54333422.178371,43580.0,42173.344354,44986.655646,120472681.832403,118573523.775266,122371839.88954
online,2048,16,1.6,edf+spt,0,1.0,112204857.2,111366204.594133,113043509.805867,39333648.0,38165426.631016,40501869.368984,8060.0,7957.946071,8162.053929,151546565.2,150406603.765873,152686526.634127
online,2048,1,1.6,edf+bin,0,1.0,112204857.2,111366204.594133,113043509.805867,75862.5,74715.430804,77009.569196,88880.0,87533.182213,90226.817787,112369599.7,111529855.123094,113209344.276906
online,2048,1,1.6,edf+bin,1,1.0,67858242.332403,67322391.205522,68394093.459284,186226.5,184950.574081,187502.425919,217500.0,215895.138829,219104.861171,68261968.832403,67725677.998707,68798259.6661
online,2048,1,1.6,edf+spt,0,1.0,112204857.2,111366204.594133,113043509.805867,135736.5,133374.348035,138098.651965,121240.0,119522.540874,122957.459126,112461833.7,111625691.039591,113297976.360409
online,2048,2,1.6,edf+bin,0,1.0,112204857.2,111366204.594133,113043509.805867,1231327.0,1181209.553942,1281444.446058,42920.0,42343.880012,43496.119988,113479104.2,112607670.67288,114350537.72712
online,2048,2,1.6,edf+bin,1,1.0,67858242.332403,67322391.205522,68394093.459284,5658399.0,5543078.289059,5773719.710941,114780.0,113471.440038,116088.559962,73631421.332403,73105488.956303,74157353.708504
online,2048,2,1.6,edf+spt,0,1.0,112204857.2,111366204.594133,113043509.805867,2874479.0,2769799.894594,2979158.105406,61680.0,60826.755671,62533.244329,115141016.2,114301611.9076,115980420.4924
online,2048,4,1.6,edf+bin,0,1.0,112204857.2,111366204.594133,113043509.805867,2490636.0,2421776.4975,2559495.5025,21260.0,20876.587394,21643.412606,114716753.2,113868937.983102,115564568.416898
online,2048,4,1.6,edf+bin,1,1.0,67858242.332403,67322391.205522,68394093.459284,14316320.5,13908413.983004,14724227.016996,73000.0,71697.259231,74302.740769,82247562.832403,81458511.590058,83036614.074748
online,2048,4,1.6,edf+spt,0,1.0,112204857.2,111366204.594133,113043509.805867,13480218.0,13057158.960231,13903277.039769,30700.0,30261.730676,31138.269324,125715775.2,124940614.520189,126490935.879811
online,2048,8,1.6,edf+bin,0,1.0,112204857.2,111366204.594133,113043509.805867,3919248.0,3711042.507244,4127453.492756,10720.0,10600.242022,10839.757978,116134825.2,115242496.75914,117027153.64086
online,2048,8,1.6,edf+bin,1,1.0,67858242.332403,67322391.205522,68394093.459284,28093545.5,27265973.508917,28921117.491083,53380.0,51983.088384,54776.911616,96005167.832403,94976888.078312,97033447.586494
online,2048,8,1.6,edf+spt,0,1.0,112204857.2,111366204.594133,113043509.805867,30740420.0,29742408.423227,31738431.576773,15800.0,15634.718288,15965.281712,142961077.2,141688051.462456,144234102.937544
